venue,caterers,entertainment,date,time
Chang-Fisher,"Gross, Fields and Lester",Dancer,3/31/2024,16:00:59
Sheppard-Tucker,"Oneal, Winters and Cruz",DJ,3/5/2024,15:54:03
Faulkner-Howard,"Smith, Melton and Lopez",Dancer,1/4/2024,22:15:12
Wagner LLC,"Snyder, Todd and Martin",Live Band,8/10/2024,1:44:48
Campos PLC,"Patterson, Key and Wilcox",Comedian,6/18/2024,18:26:30
Archer-Patel,"Le, Curry and King",Comedian,4/12/2024,21:03:31
"Patrick, Barrera and Collins","Cantu, Kerr and Smith",DJ,4/22/2024,8:14:59
"Jones, Jefferson and Rivera","Lopez, Ferrell and Wright",Live Band,8/19/2024,11:02:46
"Garcia, Hamilton and Carr",Scott-Orr,DJ,8/22/2024,9:01:10
Levy Group,Flores-Chandler,Magician,3/11/2024,3:13:49
Grimes-Green,Marshall-King,Comedian,7/17/2024,14:24:31
"Moon, Davis and Larsen",Scott-Griffith,Magician,8/20/2024,4:46:56
"Summers, Barnett and Smith",Franklin-Johnson,Live Band,6/1/2024,23:51:26
Clayton-Cook,"Palmer, Shaw and Henderson",DJ,5/2/2024,8:00:13
"Nguyen, Harrell and Lee","Douglas, Russell and Johnson",Magician,2/10/2024,15:59:30
"Walker, Pratt and Thomas",Perry Inc,Comedian,3/5/2024,22:39:39
"West, Miller and Flores",Marquez-Johnson,Comedian,2/16/2024,21:46:02
"Bolton, Burns and Turner",Shelton-Price,Magician,8/1/2024,22:32:24
Mann-Kelley,"Bailey, Ruiz and Wallace",Magician,2/26/2024,14:00:13
"Harris, Lloyd and Payne","Quinn, Yoder and Lane",Dancer,7/3/2024,2:27:06
Wallace-Carlson,"Fischer, Lawson and Clark",Live Band,3/1/2024,13:22:45
Stewart-Allen,Jones-Davis,Comedian,1/4/2024,7:56:12
Lopez and Sons,"Chavez, Anderson and Villa",Dancer,8/21/2024,2:32:33
Salazar Ltd,Mathis-Dalton,DJ,1/14/2024,20:59:53
Alvarez-Davis,Burns LLC,Dancer,4/25/2024,3:55:12
Mcdowell Inc,Peterson-Warren,Comedian,3/25/2024,15:41:56
Villanueva PLC,Rowe LLC,DJ,2/16/2024,7:53:33
"Myers, Thornton and Hill","Baker, Li and Santos",DJ,4/10/2024,8:35:24
Atkinson Ltd,"Davis, Shannon and Gordon",Magician,4/10/2024,10:39:57
"Bryan, Barnes and Hill",Brown LLC,Magician,6/23/2024,10:24:31
Keller-Davies,Williams Group,Comedian,7/7/2024,3:05:46
Miller-Salazar,Miller-Mills,Dancer,3/27/2024,20:23:07
Matthews-Rogers,Fuller PLC,DJ,4/14/2024,0:53:40
Sanchez Ltd,Hart Inc,Dancer,8/22/2024,12:31:46
Wilson-Robinson,Kelly-Anderson,Magician,8/3/2024,2:22:57
Cook Inc,Durham-Williams,Live Band,6/18/2024,6:35:03
Logan Ltd,Macias PLC,Dancer,6/26/2024,9:52:33
Williams PLC,"Rodriguez, Sandoval and Davies",DJ,4/27/2024,10:29:12
"Kent, Ferguson and Becker",White-Smith,Dancer,6/21/2024,23:01:39
Martinez and Sons,Sullivan-Chen,Magician,3/26/2024,14:44:20
"Greer, Wilson and Davis",Butler LLC,Comedian,8/19/2024,3:11:50
Johnson Inc,Reynolds-Vasquez,Dancer,7/29/2024,10:51:50
Woodward and Sons,Thomas-Pacheco,DJ,6/11/2024,14:57:33
"Martinez, Clark and Owen",Fuller-Lee,Dancer,2/11/2024,15:05:56
"Johnson, Coleman and Garcia",Pacheco Group,Dancer,6/11/2024,12:05:49
Jones-Jones,Cox-Marsh,DJ,6/1/2024,7:07:28
Bell-White,Cooper-Martin,Comedian,3/18/2024,11:20:42
"Mcdonald, Carlson and Lyons",Bush and Sons,Live Band,2/17/2024,23:32:53
Gonzalez-Howard,Moore-Herrera,Comedian,5/21/2024,20:52:46
"Harrison, Barrera and Hudson","Wallace, Stewart and Miller",Comedian,9/2/2024,0:25:55
"Chambers, Levy and Brown",Martin-Mcconnell,Comedian,9/9/2024,12:55:33
"Moore, Martin and Moreno","Reeves, Wilson and Gray",DJ,9/10/2024,14:19:22
Carlson Group,Collins-Chase,Magician,8/6/2024,22:33:56
"Thompson, Ruiz and Ortiz",Lopez Ltd,Magician,4/4/2024,1:52:48
"Golden, Lowery and Banks",Fowler-Jackson,Live Band,1/8/2024,8:05:10
Monroe-King,"Moore, Benjamin and Miller",Live Band,7/13/2024,1:48:50
"Vazquez, Ellis and Miller","Woodard, Mosley and Rodriguez",Live Band,1/27/2024,22:44:08
"Williams, Campbell and Allen",Garner-Myers,Magician,1/9/2024,3:41:49
Bell-Roberts,Alvarado-Mann,DJ,6/7/2024,4:32:06
Garza-Mcclain,Morse and Sons,Dancer,5/18/2024,18:23:59
"Anderson, Collins and Goodman","Wilson, Powell and Mcclain",Dancer,3/19/2024,18:47:20
"Miller, Wheeler and Hale",Miller-Carpenter,Live Band,3/20/2024,7:47:59
Allen Ltd,Castaneda LLC,Live Band,5/7/2024,17:53:16
Gray-Hutchinson,Barrera-Schmidt,Live Band,6/18/2024,19:14:11
"Baxter, Johnson and Savage","Adams, Morgan and Thompson",Comedian,2/12/2024,4:55:28
"Barnes, Bates and Williams",Green-Woodard,Magician,1/18/2024,19:24:25
Brown-Miles,Bryan Inc,Comedian,7/9/2024,6:47:09
Rose-Freeman,Walsh LLC,Dancer,6/17/2024,4:34:10
"Munoz, Smith and Williams","Fitzgerald, Booth and Hopkins",Magician,4/28/2024,22:14:06
Collins-Owens,Rivera Group,Magician,4/16/2024,3:15:17
Lopez-Key,Ellis-Brown,DJ,5/31/2024,8:31:16
"Irwin, Monroe and Anderson",Thompson-Perez,Live Band,8/24/2024,15:59:49
Morales Ltd,Brown Group,Comedian,4/18/2024,4:50:05
Stewart-Lewis,Garcia-Walton,Magician,5/28/2024,10:00:59
"Fischer, Baird and Lowe",Morris and Sons,DJ,8/13/2024,3:34:22
"Davis, Wilson and Banks",Jensen LLC,DJ,2/29/2024,20:40:31
Ramirez-Good,"Crawford, Cooper and Mccann",Comedian,9/1/2024,7:06:06
Alvarez Group,Valenzuela-Odom,DJ,2/18/2024,9:41:22
"Miller, Hill and Chavez",Ayala-Smith,DJ,1/7/2024,5:35:51
Callahan and Sons,"Howell, White and Gonzalez",Magician,1/27/2024,23:26:22
"Meyer, Curtis and Reed","Fletcher, Rodriguez and Gonzales",DJ,3/8/2024,12:58:34
Ramirez Inc,Williams PLC,DJ,1/17/2024,3:26:28
Williams Ltd,"Hoffman, Hart and Mclaughlin",Live Band,5/3/2024,18:01:58
Grant-Potts,Berg-Stewart,Dancer,8/24/2024,16:09:34
"Browning, Williams and Curry",Perez-Rivera,Dancer,5/21/2024,10:15:59
"Lawson, Simpson and Schneider",Thomas-Bowen,Live Band,7/24/2024,19:36:55
